year,state,winner,party,winVotes,totalVotes,runnerUp,ruParty,ruVotes,rawMargin,decMargin
2004,New Hampshire,"Kerry, John",democrat,340511,678287,"Bush, George W.",republican,331237,9274,0.013672678379505976
2008,New Hampshire,"Obama, Barack H.",democrat,384826,710970,"McCain, John",republican,316534,68292,0.09605468585172378
2008,New Hampshire,"Obama, Barack H.",democrat,384826,710970,"McCain, John",republican,316534,68292,0.09605468585172378
2012,New Hampshire,"Obama, Barack H.",democrat,369561,710972,"Romney, Mitt",republican,329918,39643,0.05575887658023099
2012,New Hampshire,"Obama, Barack H.",democrat,369561,710972,"Romney, Mitt",republican,329918,39643,0.05575887658023099
2016,New Hampshire,"Clinton, Hillary",democrat,348526,744296,"Trump, Donald J.",republican,345790,2736,0.003675956877371378
2016,New Hampshire,"Clinton, Hillary",democrat,348526,744296,"Trump, Donald J.",republican,345790,2736,0.003675956877371378
2000,New Jersey,"Gore, Al",democrat,1788850,3187226,"Bush, George W.",republican,1284173,504677,0.15834365056007954
2000,New Jersey,"Gore, Al",democrat,1788850,3187226,"Bush, George W.",republican,1284173,504677,0.15834365056007954
2004,New Jersey,"Kerry, John",democrat,1911430,3611691,"Bush, George W.",republican,1670003,241427,0.06684597325740216
2004,New Jersey,"Kerry, John",democrat,1911430,3611691,"Bush, George W.",republican,1670003,241427,0.06684597325740216
